id_transacao,descricao_produtos
1,KIT MEIA LISA C PARES NO TAG PIMPOLHO UNISSEX A
2,TOALHA LISA DE ROSTO
3,CONJ. PAGAO MANGA LISTRA KADOSHINHA;FRALDA X CM MNO DENGO C UNID. COM BAINHA MINASREY;MEIA LUDICA PRESENTE MASC PIMPOLHO CINZAURSO
4,SHORT ALGODÃO ELASTICO LISO MIC;SHORT ELASTICO ESTAMPADA MICOL BABY KIDS
5,BERMUDA DE MOLETOM Á SELFIE;CAMISA MACHAO SERGIO MODAS JUVENIL;CAMISA MANGA CURTA JUVENIL ITALICO;SHORT TACTEL MAURICINHO MAR DE PRATA
6,SUNGA SHORT ESTAMPADA JUVENIL RIO ONDAS
7,CAMISA MANGA LONGA ESTAMPADA MICOL;CUECAS BOX;PIJAMA INFANTIL LONGO COM PUNHO MICOL BABY KIDS
8,CALCINHA ESTAMPADA LUZIANE
9,CALCINHA ESTAMPADA JUVENIL MALHA ALGODAO JULY KIDS;CALCINHA LISA JUVENIL LUZIANE
10,BLUSA E REGATA CANELADA LISA D'VYSTEK;BLUSA MANGA MALHA FRIA L&D;CALCINHA ALGODÃO LISA LUZIANE;LEGUE MEIA COXA ESTAMPADA D'VYSTEK;LEGUE MEIA COXA LISA D'VYSTEK;PRENDEDOR DE CHUPETA UNICO FEM PIMPOLHO PINKCUPCAKE;SHORT LINHO COM CINTO DE LINHO ROTAS
11,KIT MEIA FESTINHA C PARES FEM PIMPOLHO ROSAROSA
12,TOALHAS DE DESENHO
13,BABY DOLL DURMA COM STYLO
14,CALCINHA LISA JUVENIL LUZIANE;SUTIÃ SPORT COKIT
15,BLUSA E REGATA CANELADA LISA D'VYSTEK;CALCINHA ESTAMPADA LUZIANE
16,TOP ALÇA E NADADOR LYCRA NEEDFEEL
17,CAMISETA BORDADA ALGODÃO MIC;CAMISETA BORDADA BILU BILU;SHORT ALGODÃO ELASTICO LISO MIC;TAPA FRALDA BORDADA BILU BILU
18,CALCINHA ALGODÃO LISA LUZIANE;CALCINHA DE CÓS LISA LUZIANE;CALCINHA ESTAMPADA LUZIANE
